a1,a2,a3,a4,a5,a6,"Num","x1","x2","x3","x4","x5","x1Name","x2Name","x3Name","x4Name","x5Name","account","subArea","Population(K)","GNI(M$)"
24244,青森県,東通村,5553,2,4244,,,,,,,,,,,,,,,
24252,青森県,風間浦村,1554,2,4252,,,,,,,,,,,,,,,
24261,青森県,佐井村,1628,2,4261,,,,,,,,,,,,,,,
24414,青森県,三戸町,8767,2,4414,,,,,,,,,,,,,,,
24422,青森県,五戸町,15285,2,4422,,,,,,,,,,,,,,,
24431,青森県,田子町,4718,2,4431,,,,,,,,,,,,,,,
24457,青森県,南部町,16185,2,4457,,,,,,,,,,,,,,,
24465,青森県,階上町,12562,2,4465,,,,,,,,,,,,,,,
24503,青森県,新郷村,2059,2,4503,,,,,,,,,,,,,,,
32018,岩手県,,1153900,3,,,,,,,,,,,,,,,,
32018,岩手県,盛岡市,277423,3,2018,,,,,,,,,,,,,,,
32026,岩手県,宮古市,45632,3,2026,,,,,,,,,,,,,,,
32034,岩手県,大船渡市,32059,3,2034,,,,,,,,,,,,,,,
32051,岩手県,花巻市,89867,3,2051,,,,,,,,,,,,,,,
32069,岩手県,北上市,91090,3,2069,,,,,,,,,,,,,,,
32077,岩手県,久慈市,31216,3,2077,,,,,,,,,,,,,,,
32085,岩手県,遠野市,23930,3,2085,,,,,,,,,,,,,,,
32093,岩手県,一関市,105505,3,2093,,,,,,,,,,,,,,,
32107,岩手県,陸前高田市,17226,3,2107,,,,,,,,,,,,,,,
32115,岩手県,釜石市,28934,3,2115,,,,,,,,,,,,,,,
32131,岩手県,二戸市,24157,3,2131,,,,,,,,,,,,,,,
32140,岩手県,八幡平市,23179,3,2140,,,,,,,,,,,,,,,
32158,岩手県,奥州市,107798,3,2158,,,,,,,,,,,,,,,
32166,岩手県,滝沢市,54413,3,2166,,,,,,,,,,,,,,,
33014,岩手県,雫石町,14995,3,3014,,,,,,,,,,,,,,,
33022,岩手県,葛巻町,5293,3,3022,,,,,,,,,,,,,,,
33031,岩手県,岩手町,11542,3,3031,,,,,,,,,,,,,,,
33219,岩手県,紫波町,32684,3,3219,,,,,,,,,,,,,,,
33227,岩手県,矢巾町,26160,3,3227,,,,,,,,,,,,,,,
33669,岩手県,西和賀町,4659,3,3669,,,,,,,,,,,,,,,
33812,岩手県,金ケ崎町,15119,3,3812,,,,,,,,,,,,,,,
34029,岩手県,平泉町,6734,3,4029,,,,,,,,,,,,,,,
34410,岩手県,住田町,4681,3,4410,,,,,,,,,,,,,,,
34614,岩手県,大槌町,10492,3,4614,,,,,,,,,,,,,,,
34827,岩手県,山田町,13854,3,4827,,,,,,,,,,,,,,,
34835,岩手県,岩泉町,7843,3,4835,,,,,,,,,,,,,,,
34843,岩手県,田野畑村,2888,3,4843,,,,,,,,,,,,,,,
34851,岩手県,普代村,2293,3,4851,,,,,,,,,,,,,,,
35017,岩手県,軽米町,7907,3,5017,,,,,,,,,,,,,,,
35033,岩手県,野田村,3901,3,5033,,,,,,,,,,,,,,,
35068,岩手県,九戸村,5084,3,5068,,,,,,,,,,,,,,,
35076,岩手県,洋野町,14739,3,5076,,,,,,,,,,,,,,,
35246,岩手県,一戸町,10603,3,5246,,,,,,,,,,,,,,,
41009,宮城県,,2224980,4,,,,,,,,,,,,,,,,
41009,宮城県,仙台市,1064142,4,1009,,,,,,,,,,,,,,,
42021,宮城県,石巻市,132447,4,2021,,,,,,,,,,,,,,,
42030,宮城県,塩竈市,51726,4,2030,,,,,,,,,,,,,,,
42056,宮城県,気仙沼市,56300,4,2056,,,,,,,,,,,,,,,
42064,宮城県,白石市,30569,4,2064,,,,,,,,,,,,,,,
42072,宮城県,名取市,79792,4,2072,,,,,,,,,,,,,,,
42081,宮城県,角田市,26469,4,2081,,,,,,,,,,,,,,,
42099,宮城県,多賀城市,61628,4,2099,,,,,,,,,,,,,,,
42111,宮城県,岩沼市,43137,4,2111,,,,,,,,,,,,,,,
42129,宮城県,登米市,71919,4,2129,,,,,,,,,,,,,,,
42137,宮城県,栗原市,60518,4,2137,,,,,,,,,,,,,,,
42145,宮城県,東松島市,37875,4,2145,,,,,,,,,,,,,,,
42153,宮城県,大崎市,122035,4,2153,,,,,,,,,,,,,,,
42161,宮城県,富谷市,52452,4,2161,,,,,,,,,,,,,,,
43010,宮城県,蔵王町,10916,4,3010,,,,,,,,,,,,,,,
43028,宮城県,七ヶ宿町,1213,4,3028,,,,,,,,,,,,,,,
43214,宮城県,大河原町,23297,4,3214,,,,,,,,,,,,,,,
43222,宮城県,村田町,9816,4,3222,,,,,,,,,,,,,,,
43231,宮城県,柴田町,36331,4,3231,,,,,,,,,,,,,,,
